Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,17.67140007019043,16.21430015563965,16.21430015563965,17.67140007019043,57186488.0,17.57160186767578
2018-01-03,17.885700225830078,17.378599166870117,17.492900848388672,17.57859992980957,41095849.0,17.479324340820312
2018-01-04,19.142900466918945,17.864299774169922,17.864299774169922,18.871400833129883,52611597.0,18.76482582092285
2018-01-05,19.371400833129883,18.357099533081055,18.592899322509766,19.092899322509766,35511195.0,18.98507308959961
2018-01-08,20.28569984436035,18.571399688720703,18.571399688720703,20.1643009185791,34920065.0,20.05042266845703
2018-01-09,20.678600311279297,19.257099151611328,19.885700225830078,19.67140007019043,36456823.0,19.560306549072266
2018-01-10,20.107099533081055,18.642900466918945,20.064300537109375,18.950000762939453,46581295.0,18.842981338500977
2018-01-11,19.1643009185791,18.721399307250977,19.142900466918945,18.899999618530273,29194621.0,18.793262481689453
2018-01-12,19.814300537109375,18.857099533081055,18.992900848388672,19.242900848388672,36630676.0,19.134227752685547
2018-01-15,19.428600311279297,18.0,19.428600311279297,18.507099151611328,37593359.0,18.40258026123047
2018-01-16,19.428600311279297,18.450000762939453,18.45709991455078,18.757099151611328,27086911.0,18.651168823242188
2018-01-17,18.857099533081055,17.5856990814209,18.857099533081055,17.764299392700195,36205600.0,17.663976669311523
2018-01-18,18.985700607299805,17.807100296020508,17.978599548339844,18.842899322509766,38567328.0,18.73648452758789
2018-01-19,19.357099533081055,18.492900848388672,18.842899322509766,18.878599166870117,27499442.0,18.771982192993164
2018-01-22,19.507099151611328,18.621400833129883,18.92140007019043,19.485700607299805,28648394.0,19.375656127929688
2018-01-23,19.78569984436035,18.21430015563965,19.75,18.892900466918945,41883008.0,18.786203384399414
2018-01-24,18.978599548339844,18.435699462890625,18.928600311279297,18.907100677490234,29649535.0,18.800323486328125
2018-01-25,19.771400451660156,18.985700607299805,19.0,19.228599548339844,30946586.0,19.120006561279297
2018-01-26,19.764299392700195,18.928600311279297,19.107099533081055,19.364299774169922,21087549.0,19.254940032958984
2018-01-29,20.78569984436035,19.221399307250977,19.357099533081055,20.735700607299805,40133385.0,20.61859703063965
2018-01-30,21.03569984436035,19.935699462890625,20.557100296020508,20.521400451660156,36466483.0,20.405506134033203
2018-01-31,20.149999618530273,19.54290008544922,20.149999618530273,19.778600692749023,26156985.0,19.666900634765625
2018-02-01,20.450000762939453,18.5,19.821399688720703,18.70709991455078,42770699.0,18.601451873779297
2018-02-02,19.278600692749023,17.25,18.428600311279297,19.007099151611328,32539407.0,18.899757385253906
2018-02-05,19.299999237060547,18.321399688720703,18.450000762939453,18.935699462890625,24467384.0,18.828760147094727
2018-02-06,18.564300537109375,17.04290008544922,18.142900466918945,17.04290008544922,39886412.0,16.946651458740234
2018-02-07,17.92140007019043,16.700000762939453,17.428600311279297,16.9143009185791,33796075.0,16.818777084350586
2018-02-08,17.264299392700195,16.021400451660156,16.885700225830078,17.17140007019043,28857452.0,17.074424743652344
2018-02-09,16.4143009185791,15.471400260925293,15.928600311279297,15.542900085449219,29314104.0,15.455121994018555
2018-02-12,17.03569984436035,15.542900085449219,15.714300155639648,16.67140007019043,31890513.0,16.57724952697754
